Type,Product,Brand,Name,Price
SkinCare,防曬,SEA BREEZE 海洋微風,擁抱艷陽清香防曬乳SPF50 PA+++,280
SkinCare,防曬,ANNA SUI 安娜蘇,魔法肌密防曬粉底液SPF20 PA++,1600
SkinCare,防曬,Kanebo 佳麗寶-專櫃,深透淨白防曬乳,1190
SkinCare,防曬,ettusais 艾杜紗,荳蔻美白防曬隔離霜(濕潤型)EX MEDICATED ACNE WHITENING UV EX DRY BLOCK,850
SkinCare,防曬,LANCOME 蘭蔻,DNA UV 柔白潤色隔離乳 SPF30 PA++,0
SkinCare,防曬,BOBBI BROWN 芭比波朗,SPF15 隔離防曬乳 Protective Face Lotion SPF15,1700
SkinCare,防曬,NOV 娜芙,防曬水凝乳SPF32 PA+++,650
SkinCare,防曬,AHC,超清爽完美持久防曬棒SPF50+/PA++++ Natural Perfection Fresh Sun stickSPF50+/PA++++,800
SkinCare,防曬,KIEHL'S 契爾氏,集高效清爽零油光UV水凝露SPF50/PA++++,1400
SkinCare,防曬,KOSE 高絲-專櫃,極度水潤防曬凝膠SPF50+/PA++++ SportsBeauty UVWEAR Gel Ex,500
SkinCare,防曬,WHITE FORMULA 自白肌,玻尿酸涼感防曬乳液SPF50+/PA+++ Cool & Fresh UV Protective Lotion With Hyaluronic Acid SPF 50+ PA+++,160
SkinCare,防曬,SUNCUT 曬可皙,高效防曬隔離凝露(極效防水型)SPF50+/PA++++ UV PROTECT GEL SPF50+/PA++++,378
SkinCare,防曬,AYURA,不調姬長效潤澤防護乳SPF30/PA+++ SIGN DEFENSE MOIST CHARGE PROTECTION,850
SkinCare,防曬,SHISEIDO 資生堂-東京櫃,安耐曬金鑽高效防曬乳SPF50+/PA++++,750
SkinCare,防曬,pre'CARE 皮珂兒,舒活抗曬露 Broccoli Energetic UV Moisturizer SPF50+***,420
SkinCare,防曬,PAUL&JOE,糖瓷光釉保濕隔離乳SPF18/PA+ FOUNDATION PRIMER L,1400
SkinCare,防曬,Za,4D亮白UV防曬乳(臉部用)SPF50+/PA++++,290
SkinCare,防曬,Fasio 菲希歐,[海外販售] 超護UV撥水防曬液 FASIO UV PROTECT MILK N,320
SkinCare,防曬,MakeHappySkin 幸福肌,防曬隔離乳霜 SPF50+ PA+++,1600
SkinCare,防曬,COVERMARK,草本光透亮隔離霜SPF38 PA+++ JUSME COLOR LASTING MAKE UP BASE SPF38 PA+++,1200
SkinCare,防曬,3M,戶外防曬乳SPF50★★★★ UV SUN SCREEN,169
SkinCare,防曬,MENTHOLATUM 曼秀雷敦,水潤肌防曬乳液SPF50+ PA+++ UV Moisture Milk,275
SkinCare,防曬,GUERLAIN 嬌蘭,珍珠極光綻白高機能UV乳SPF50+/PA+++ UV SHIELD BRIGHTENING PEARL PERFECTION,2100
SkinCare,防曬,GUERLAIN 嬌蘭,珍珠極光綻白潤色隔離乳SPF30/PA+++ LIGHTENING UV BASE BRIGHTENING PEARL PERFECTION,2100
SkinCare,防曬,shu uemura 植村秀,光透白UV泡沫隔離霜SPF30 PA++,1550
SkinCare,防曬,ETUDE HOUSE,光世代粉嫩嫩美肌防曬霜,480
SkinCare,防曬,Skin Potion 魔力配方,清透美白極致輕感防曬液(潤色型) SPF50★★★ Magic White UV Shield Airy Solution SPF50★★★,1480
SkinCare,防曬,SHISEIDO 資生堂-國際櫃,美透白淡斑呵護素SPF35/PA+++,1550
SkinCare,防曬,GUERLAIN 嬌蘭,珍珠極光綻白隔離防護液 SPF50. PA+++ UV SHIELD BRIGHTENING PEARL PERFECTION,2200
SkinCare,防曬,KRYOLAN 歌劇魅影,甦活返時隔離霜,1600
SkinCare,防曬,OLAY 歐蕾,輕透隔離防曬乳液 SPF30 PA+++,499
SkinCare,防曬,ERH 英瑞其,保濕防曬隔離乳SPF30★★★,880
SkinCare,防曬,LA MER 海洋拉娜,璀燦淨白隔離乳SPF30/PA+++,3600
SkinCare,防曬,elsagusa 艾莎古薩,元氣透氧隔離霜,450
SkinCare,防曬,ettusais 艾杜紗,荳蔻美白防曬隔離露(清爽型)EX SPF24 PA++ MEDICATED ACNE WHITENING UV EX OIL BLOCK,850
SkinCare,防曬,LANCOME 蘭蔻,UV瞬白潤色隔離乳SPF30/PA++ UV EXPERT DNA MAKE UP BASE SPF30/PA++,1650
SkinCare,防曬,Freshel 膚蕊,美白防曬美容液 SPF35 PA++,350
SkinCare,防曬,DHC,全效淨白防曬乳 SPF35 PA+++ DHC White Sunscreen,750
SkinCare,防曬,SHISEIDO 資生堂-開架式,美白保濕隔離防曬乳SPF28 PA++,430
SkinCare,防曬,Dior 迪奧,嫩白防護隔離霜SPF50 PA+++ Diorshow Pure Ultra-Protective Whitening UV Base,1500
SkinCare,防曬,MARY QUANT 瑪莉官,[海外販售] B&B防曬隔離乳液,1200
SkinCare,防曬,Dior 迪奧,美白防護隔離霜SPF50.PA+++ Ultra-Protective Whitening Creme Base SPF 50.PA+++,1450
SkinCare,防曬,SEXYLOOK 極美肌,極酵沁涼防曬噴霧,199
SkinCare,防曬,Estee Lauder 雅詩蘭黛,Pro全能防曬超輕感水凝露SPF50/PA++++,2100
SkinCare,防曬,KOSE 高絲-專櫃,極度防禦防曬露SPF50+/PA++++ SportsBeauty UVWEAR Super Hard N,550
SkinCare,防曬,WHITE FORMULA 自白肌,水感玻尿酸防曬凝露SPF50+/PA++++ UV Protective Gel With Hyaluronic Acid SPF50+PA++++,330
SkinCare,防曬,cle de peau Beaute 肌膚之鑰,無齡光采防曬潤色霜SPF50+/PA++++,2700
SkinCare,防曬,MENTHOLATUM 曼秀雷敦,水潤肌瞬間清爽防曬凝乳SPF50+/PA++++,319
SkinCare,防曬,1028,水感提亮抗曬乳SPF50+★★★ Ultra Lightweight UV Protector,399
SkinCare,防曬,NIVEA 妮維雅,防曬水活透白凝露SPF50+/PA+++,269
SkinCare,防曬,1028,全面防護抗曬乳SPF50+★★★,399
SkinCare,防曬,KOSE 高絲-專櫃,極效輕透防曬凝膠N SPF50+/PA++++,950
SkinCare,防曬,Neutrogena 露得清,海灘終極防護防曬隔離乳SPF50+,499
SkinCare,防曬,MICAYA 米該亞植研,極光白潤肌隔離霜,680
SkinCare,防曬,Cetaphil 舒特膚,全日護高效防曬凝露SPF50+/PA++++,800
SkinCare,防曬,3M,Nexcare 戶外專用防曬乳(無香型),169
